"custom_id","twitter_handle","bigram","custom_id-2","twitter_handle-2","fullname","newssource","newssource_party","newsspource_lean"
2016,"ESCochrane","(federal,government)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(mueller,report)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(town,hall)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(health,care)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(mueller,report)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(town,hall)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(mueller,report)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(disaster,relief)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(president,trump)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(town,hall)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(time,congress)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(climate,change)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(federal,government)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(border,wall)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(signed,law)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(house,dems)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(gt,gt)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(disaster,relief)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(trump,administration)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(disaster,relief)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(trump,administration)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(disaster,relief)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(disaster,relief)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(farm,bill)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(past,time)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(white,house)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2017,"danjonesnyt","(looking,forward)",2017,"danjonesnyt","Daniel Jones","nytimes","D","d_solid"
2018,"ian_urbina","(task,force)",2018,"ian_urbina","Ian Urbina","nytimes","D","d_solid"
2018,"ian_urbina","(human,rights)",2018,"ian_urbina","Ian Urbina","nytimes","D","d_solid"
2018,"ian_urbina","(looking,forward)",2018,"ian_urbina","Ian Urbina","nytimes","D","d_solid"
2018,"ian_urbina","(task,force)",2018,"ian_urbina","Ian Urbina","nytimes","D","d_solid"
2018,"ian_urbina","(task,force)",2018,"ian_urbina","Ian Urbina","nytimes","D","d_solid"
2018,"ian_urbina","(bipartisan,bill)",2018,"ian_urbina","Ian Urbina","nytimes","D","d_solid"
2018,"ian_urbina","(paris,agreement)",2018,"ian_urbina","Ian Urbina","nytimes","D","d_solid"
2018,"ian_urbina","(gt,gt)",2018,"ian_urbina","Ian Urbina","nytimes","D","d_solid"
2018,"ian_urbina","(human,rights)",2018,"ian_urbina","Ian Urbina","nytimes","D","d_solid"
2018,"ian_urbina","(looking,forward)",2018,"ian_urbina","Ian Urbina","nytimes","D","d_solid"
2018,"ian_urbina","(sri,lanka)",2018,"ian_urbina","Ian Urbina","nytimes","D","d_solid"
2018,"ian_urbina","(mueller,report)",2018,"ian_urbina","Ian Urbina","nytimes","D","d_solid"
2018,"ian_urbina","(task,force)",2018,"ian_urbina","Ian Urbina","nytimes","D","d_solid"
2018,"ian_urbina","(looking,forward)",2018,"ian_urbina","Ian Urbina","nytimes","D","d_solid"
