Senator,State,Twitter,Facebook
"McClintock, Tom",California 4th District,@RepMcClintock,https://www.facebook.com/Congressman-Tom-McClintock-81125319109
"Hunter, Duncan D.",California 50th District,@Rep_Hunter,https://www.facebook.com/DuncanHunter
"Vargas, Juan",California 51st District,@RepJuanVargas,https://www.facebook.com/RepJuanVargas
"Peters, Scott",California 52nd District,@RepScottPeters,https://www.facebook.com/scottpeterssandiego
"Davis, Susan",California 53rd District,@RepSusanDavis,https://www.facebook.com/RepSusanDavis
"Thompson, Mike",California 5th District,@RepThompson,https://www.facebook.com/RepMikeThompson
"Matsui, Doris O.",California 6th District,@DorisMatsui,https://www.facebook.com/doris.matsui
"Bera, Ami",California 7th District,@RepBera,https://www.facebook.com/RepAmiBera
"Cook, Paul",California 8th District,@RepPaulCook,https://www.facebook.com/RepPaulCook
"McNerney, Jerry",California 9th District,@RepMcNerney,https://www.facebook.com/jerrymcnerney
"DeGette, Diana",Colorado 1st District,@RepDianaDeGette,https://www.facebook.com/DianaDeGette
"Neguse, Joe",Colorado 2nd District,@RepJoeNeguse,https://www.facebook.com/RepJoeNeguse/
"Tipton, Scott",Colorado 3rd District,@RepTipton,https://www.facebook.com/CongressmanScottTipton
"Buck, Ken",Colorado 4th District,@RepKenBuck,https://www.facebook.com/repkenbuck
"Lamborn, Doug",Colorado 5th District,@RepDLamborn,https://www.facebook.com/CongressmanDougLamborn
"Crow, Jason",Colorado 6th District,@RepJasonCrow,https://www.facebook.com/RepJasonCrow
"Perlmutter, Ed",Colorado 7th District,@RepPerlmutter,https://www.facebook.com/RepPerlmutter?v=info&tab=page_info
"Larson, John B.",Connecticut 1st District,@RepJohnLarson,https://www.facebook.com/RepJohnLarson
"Courtney, Joe",Connecticut 2nd District,@RepJoeCourtney,https://www.facebook.com/joecourtney
"DeLauro, Rosa L.",Connecticut 3rd District,@rosadelauro,https://www.facebook.com/CongresswomanRosaDeLauro?v=wall
